COG	Protein name	Pathway	Letter	Function
COG1080	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)		G	Carbohydrate Transport and Metabolism
COG1082	Sugar phosphate isomerase/epimerase		G	Carbohydrate Transport and Metabolism
COG1083	CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family		M	Cell Wall/Membrane/Envelope Biogenesis
COG1084	GTP-binding protein, GTP1/Obg family		R	General Function Prediction Only
COG1085	Galactose-1-phosphate uridylyltransferase		G	Carbohydrate Transport and Metabolism
COG1086	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC		M	Cell Wall/Membrane/Envelope Biogenesis
COG1086	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC		O	Post-translational Modification, Protein Turnover, Chaperones
COG1087	UDP-glucose 4-epimerase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1088	dTDP-D-glucose 4,6-dehydratase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1089	GDP-D-mannose dehydratase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1090	NAD dependent epimerase/dehydratase family enzyme		R	General Function Prediction Only
COG1091	dTDP-4-dehydrorhamnose reductase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1092	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	23S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1093	Translation initiation factor 2, alpha subunit (eIF-2alpha)	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG1094	rRNA processing protein Krr1/Pno1, contains KH domain		J	Translation, Ribosomal Structure and Biogenesis
COG1095	DNA-directed RNA polymerase, subunit E'/Rpb7	RNA polymerase	K	Transcription
COG1096	Exosome complex RNA-binding protein Csl4, contains S1 and Zn-ribbon domains		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1097	Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1098	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain		R	General Function Prediction Only
COG1099	Predicted metal-dependent hydrolase, TIM-barrel fold		R	General Function Prediction Only
COG1100	GTPase SAR1 family domain		R	General Function Prediction Only
COG1101	ABC-type uncharacterized transport system, ATPase component		R	General Function Prediction Only
COG1102	Cytidylate kinase		F	Nucleotide Transport and Metabolism
COG1103	Archaeal Cys-tRNA synthase (O-phospho-L-seryl-tRNA:Cys-tRNA synthase)		J	Translation, Ribosomal Structure and Biogenesis
COG1104	Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family		E	Amino Acid Transport and Metabolism
COG1105	1-phosphofructokinase or 6-phosphofructokinase II		G	Carbohydrate Transport and Metabolism
COG1106	ATPase/GTPase, AAA15 family		R	General Function Prediction Only
COG1107	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain		L	Replication, Recombination and Repair
COG1108	ABC-type Mn2+/Zn2+ transport system, permease component		P	Inorganic Ion Transport and Metabolism
COG1109	Phosphomannomutase		G	Carbohydrate Transport and Metabolism
COG1110	Reverse gyrase		L	Replication, Recombination and Repair
COG1111	ERCC4-related helicase		L	Replication, Recombination and Repair
COG1112	Superfamily I DNA and/or RNA helicase		L	Replication, Recombination and Repair
COG1113	L-asparagine transporter or related permease		E	Amino Acid Transport and Metabolism
COG1114	Branched-chain amino acid permease		E	Amino Acid Transport and Metabolism
COG1115	Na+/alanine symporter		E	Amino Acid Transport and Metabolism
COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1117	ABC-type phosphate transport system, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1118	ABC-type sulfate/molybdate transport systems, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1119	ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA		P	Inorganic Ion Transport and Metabolism
COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component		H	Coenzyme Transport and Metabolism
COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2		P	Inorganic Ion Transport and Metabolism
COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2		R	General Function Prediction Only
COG1123	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain		O	Post-translational Modification, Protein Turnover, Chaperones
COG1124	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component		E	Amino Acid Transport and Metabolism
COG1124	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component		P	Inorganic Ion Transport and Metabolism
COG1125	ABC-type proline/glycine betaine transport system, ATPase component		E	Amino Acid Transport and Metabolism
COG1126	ABC-type polar amino acid transport system, ATPase component		E	Amino Acid Transport and Metabolism
COG1127	ATPase subunit MlaF of the ABC-type intermembrane phospholipid transporter Mla		M	Cell Wall/Membrane/Envelope Biogenesis
COG1129	ABC-type sugar transport system, ATPase component		G	Carbohydrate Transport and Metabolism
COG1131	ABC-type multidrug transport system, ATPase component		V	Defense Mechanisms
COG1132	ABC-type multidrug transport system, ATPase and permease component		V	Defense Mechanisms
COG1133	Peptide antibiotic transporter SbmA/BacA, ABC-type permease family		V	Defense Mechanisms
COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component		G	Carbohydrate Transport and Metabolism
COG1135	ABC-type methionine transport system, ATPase component		E	Amino Acid Transport and Metabolism
COG1136	ABC-type lipoprotein export system, ATPase component		M	Cell Wall/Membrane/Envelope Biogenesis
COG1137	ABC-type lipopolysaccharide export system, ATPase component		M	Cell Wall/Membrane/Envelope Biogenesis
COG1138	Cytochrome c biogenesis protein CcmF		C	Energy Production and Conversion
COG1138	Cytochrome c biogenesis protein CcmF		O	Post-translational Modification, Protein Turnover, Chaperones
COG1139	L-lactate utilization protein LutB, contains a ferredoxin-type domain		C	Energy Production and Conversion
COG1140	Nitrate reductase beta subunit		C	Energy Production and Conversion
COG1140	Nitrate reductase beta subunit		P	Inorganic Ion Transport and Metabolism
COG1141	Ferredoxin		C	Energy Production and Conversion
COG1142	Fe-S-cluster-containing hydrogenase component 2		C	Energy Production and Conversion
COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	NADH dehydrogenase	C	Energy Production and Conversion
COG1144	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit	Pyruvate oxidation	C	Energy Production and Conversion
COG1145	Ferredoxin		C	Energy Production and Conversion
COG1146	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit		F	Nucleotide Transport and Metabolism
COG1148	Heterodisulfide reductase, subunit A (polyferredoxin)		C	Energy Production and Conversion
COG1149	MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain		R	General Function Prediction Only
COG1150	Heterodisulfide reductase, subunit C		C	Energy Production and Conversion
COG1151	Hydroxylamine reductase (hybrid-cluster protein)		C	Energy Production and Conversion
COG1152	CO dehydrogenase/acetyl-CoA synthase alpha subunit		C	Energy Production and Conversion
COG1153	Formylmethanofuran dehydrogenase subunit D		C	Energy Production and Conversion
COG1154	Deoxyxylulose-5-phosphate synthase	Pyridoxal phosphate biosynthesis	H	Coenzyme Transport and Metabolism
COG1154	Deoxyxylulose-5-phosphate synthase	Pyridoxal phosphate biosynthesis	I	Lipid Transport and Metabolism
COG1155	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	A/V-type ATP synthase	C	Energy Production and Conversion
COG1156	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	A/V-type ATP synthase	C	Energy Production and Conversion
COG1157	Flagellar biosynthesis/type III secretory pathway ATPase FliI		N	Cell Motility
COG1157	Flagellar biosynthesis/type III secretory pathway ATPase FliI		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1158	Transcription termination factor Rho		K	Transcription
COG1159	GTPase Era, involved in 16S rRNA processing		J	Translation, Ribosomal Structure and Biogenesis
COG1160	Double Era-like domain GTPase Der		J	Translation, Ribosomal Structure and Biogenesis
COG1161	Ribosome biogenesis GTPase RbgA		J	Translation, Ribosomal Structure and Biogenesis
COG1162	Ribosome biogenesis GTPase RsgA		J	Translation, Ribosomal Structure and Biogenesis
COG1163	Ribosome-interacting GTPase RBG1		J	Translation, Ribosomal Structure and Biogenesis
COG1164	Oligoendopeptidase F		E	Amino Acid Transport and Metabolism
COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	Menaquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG1166	Arginine decarboxylase (spermidine biosynthesis)		E	Amino Acid Transport and Metabolism
COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	Lysine biosynthesis	K	Transcription
COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities		E	Amino Acid Transport and Metabolism
COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities		R	General Function Prediction Only
COG1169	Isochorismate synthase EntC	Menaquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG1169	Isochorismate synthase EntC	Menaquinone biosynthesis	Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG1171	Threonine deaminase	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component		G	Carbohydrate Transport and Metabolism
COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		E	Amino Acid Transport and Metabolism
COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		P	Inorganic Ion Transport and Metabolism
COG1174	ABC-type proline/glycine betaine transport system, permease component		E	Amino Acid Transport and Metabolism
COG1175	ABC-type sugar transport system, permease component		G	Carbohydrate Transport and Metabolism
COG1176	ABC-type spermidine/putrescine transport system, permease component I		E	Amino Acid Transport and Metabolism
COG1177	ABC-type spermidine/putrescine transport system, permease component II		E	Amino Acid Transport and Metabolism
COG1178	ABC-type Fe3+ transport system, permease component		P	Inorganic Ion Transport and Metabolism
COG1179	tRNA A37 threonylcarbamoyladenosine dehydratase	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1180	Pyruvate-formate lyase-activating enzyme		O	Post-translational Modification, Protein Turnover, Chaperones
COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme	Mureine biosynthesis	M	Cell Wall/Membrane/Envelope Biogenesis
COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme	Mureine biosynthesis	R	General Function Prediction Only
COG1182	FMN-dependent NADH-azoreductase		C	Energy Production and Conversion
COG1183	Phosphatidylserine synthase		I	Lipid Transport and Metabolism
COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)		J	Translation, Ribosomal Structure and Biogenesis
COG1186	Protein chain release factor PrfB	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG1187	Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain		J	Translation, Ribosomal Structure and Biogenesis
COG1189	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains		J	Translation, Ribosomal Structure and Biogenesis
COG1190	Lysyl-tRNA synthetase (class II)	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG1191	DNA-directed RNA polymerase specialized sigma subunit	RNA polymerase	K	Transcription
COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ		N	Cell Motility
COG1193	dsDNA-specific endonuclease/ATPase MutS2		L	Replication, Recombination and Repair
COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs		L	Replication, Recombination and Repair
COG1195	Recombinational DNA repair ATPase RecF		L	Replication, Recombination and Repair
COG1196	Chromosome segregation ATPase Smc		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG1197	Transcription-repair coupling factor (superfamily II helicase)		L	Replication, Recombination and Repair
COG1197	Transcription-repair coupling factor (superfamily II helicase)		K	Transcription
COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase		L	Replication, Recombination and Repair
COG1199	Rad3-related DNA helicase DinG		L	Replication, Recombination and Repair
COG1200	RecG-like helicase		L	Replication, Recombination and Repair
COG1201	Lhr-like helicase		L	Replication, Recombination and Repair
COG1202	Superfamily II helicase, archaea-specific		L	Replication, Recombination and Repair
COG1203	CRISPR-Cas type I system-associated endonuclease/helicase Cas3	CRISPR-Cas system	V	Defense Mechanisms
COG1204	Replicative superfamily II helicase		L	Replication, Recombination and Repair
COG1205	ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain		L	Replication, Recombination and Repair
COG1206	Folate-dependent tRNA-U54 methylase TrmFO/GidA	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s		J	Translation, Ribosomal Structure and Biogenesis
COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s		M	Cell Wall/Membrane/Envelope Biogenesis
COG1209	dTDP-glucose pyrophosphorylase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1210	UTP-glucose-1-phosphate uridylyltransferase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Isoprenoid biosynthesis	I	Lipid Transport and Metabolism
COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	Lipid A biosynthesis	M	Cell Wall/Membrane/Envelope Biogenesis
COG1213	Choline kinase		I	Lipid Transport and Metabolism
COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase		N	Cell Motility
COG1216	Glycosyltransferase, GT2 family		G	Carbohydrate Transport and Metabolism
COG1217	Predicted membrane GTPase TypA/BipA involved in stress response		T	Signal Transduction Mechanisms
COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase		P	Inorganic Ion Transport and Metabolism
COG1219	ATP-dependent protease Clp, ATPase subunit ClpX		O	Post-translational Modification, Protein Turnover, Chaperones
COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU		O	Post-translational Modification, Protein Turnover, Chaperones
COG1221	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain		K	Transcription
COG1221	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain		T	Signal Transduction Mechanisms
COG1222	ATP-dependent 26S proteasome regulatory subunit		O	Post-translational Modification, Protein Turnover, Chaperones
COG1223	Predicted ATPase, AAA+ superfamily		R	General Function Prediction Only
COG1224	DNA helicase TIP49, TBP-interacting protein		K	Transcription
COG1225	Peroxiredoxin		O	Post-translational Modification, Protein Turnover, Chaperones
COG1226	Voltage-gated potassium channel Kch		P	Inorganic Ion Transport and Metabolism
COG1227	Inorganic pyrophosphatase/exopolyphosphatase		C	Energy Production and Conversion
COG1228	Imidazolonepropionase or related amidohydrolase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG1229	Formylmethanofuran dehydrogenase subunit A		C	Energy Production and Conversion
COG1230	Co/Zn/Cd efflux system component		P	Inorganic Ion Transport and Metabolism
COG1231	Monoamine oxidase		E	Amino Acid Transport and Metabolism
COG1232	Protoporphyrinogen oxidase HemY/PPOX	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG1233	Phytoene dehydrogenase-related protein		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG1234	Ribonuclease BN, tRNA processing enzyme		J	Translation, Ribosomal Structure and Biogenesis
COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase		P	Inorganic Ion Transport and Metabolism
COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family		J	Translation, Ribosomal Structure and Biogenesis
COG1237	Metal-dependent hydrolase, beta-lactamase superfamily II		R	General Function Prediction Only
COG1238	Uncharacterized membrane protein YqaA, VTT domain		S	Function Unknown
COG1239	Mg-chelatase subunit ChlI		H	Coenzyme Transport and Metabolism
COG1240	vWFA (von Willebrand factor type A) domain of Mg and Co chelatases		H	Coenzyme Transport and Metabolism
COG1241	DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family		L	Replication, Recombination and Repair
COG1242	Radical SAM superfamily enzyme		R	General Function Prediction Only
COG1243	tRNA U34 5-carboxymethylaminomethylation enzyme Elp3 (RNA elongator complex protein 3), contains radical SAM and acetyltransferase domains		J	Translation, Ribosomal Structure and Biogenesis
COG1244	Archaeosine formation enzyme, radical SAM superfamily		J	Translation, Ribosomal Structure and Biogenesis
COG1245	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains		J	Translation, Ribosomal Structure and Biogenesis
COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG1247	L-amino acid N-acyltransferase MnaT		E	Amino Acid Transport and Metabolism
COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	Glycine cleavagePyruvate oxidation	C	Energy Production and Conversion
COG1250	3-hydroxyacyl-CoA dehydrogenase	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG1251	NAD(P)H-nitrite reductase, large subunit		C	Energy Production and Conversion
COG1252	NADH dehydrogenase, FAD-containing subunit		C	Energy Production and Conversion
COG1253	Hemolysin-related protein, contains CBS domains, UPF0053 family		R	General Function Prediction Only
COG1254	Acylphosphatase		C	Energy Production and Conversion
COG1255	Predicted small methyltransferase MTH1000, UPF0146 family		R	General Function Prediction Only
COG1256	Flagellar hook-associated protein FlgK		N	Cell Motility
COG1257	Hydroxymethylglutaryl-CoA reductase	Isoprenoid biosynthesis	I	Lipid Transport and Metabolism
COG1258	tRNA U54 and U55 pseudouridine synthase Pus10	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1259	Bifunctional DNase/RNase		R	General Function Prediction Only
COG1260	Myo-inositol-1-phosphate synthase		I	Lipid Transport and Metabolism
COG1261	Flagellar basal body P-ring formation protein FlgA		N	Cell Motility
COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain		O	Post-translational Modification, Protein Turnover, Chaperones
COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific		G	Carbohydrate Transport and Metabolism
COG1264	Phosphotransferase system IIB components		G	Carbohydrate Transport and Metabolism
COG1266	Membrane protease YdiL, CAAX protease family		O	Post-translational Modification, Protein Turnover, Chaperones
COG1267	Phosphatidylglycerophosphatase A	Phospholipid biosynthesis	I	Lipid Transport and Metabolism
COG1268	Biotin transporter BioY		H	Coenzyme Transport and Metabolism
COG1269	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	A/V-type ATP synthase	C	Energy Production and Conversion
COG1270	Cobalamin biosynthesis protein CobD/CbiB	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG1271	Cytochrome bd-type quinol oxidase, subunit 1		C	Energy Production and Conversion
COG1272	Predicted membrane channel-forming protein YqfA, hemolysin III family		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1273	Non-homologous end joining protein Ku, dsDNA break repair		L	Replication, Recombination and Repair
COG1274	Phosphoenolpyruvate carboxykinase, GTP-dependent	Gluconeogenesis	C	Energy Production and Conversion
COG1275	Tellurite resistance protein TehA and related permeases		V	Defense Mechanisms
COG1276	Putative copper export protein		P	Inorganic Ion Transport and Metabolism
COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component		O	Post-translational Modification, Protein Turnover, Chaperones
COG1278	Cold shock protein, CspA family		K	Transcription
COG1279	Arginine exporter protein ArgO		E	Amino Acid Transport and Metabolism
COG1280	Threonine/homoserine/homoserine lactone efflux protein		E	Amino Acid Transport and Metabolism
COG1281	Redox-regulated molecular chaperone, HSP33 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG1282	NAD/NADP transhydrogenase beta subunit		C	Energy Production and Conversion
COG1283	Na+/phosphate symporter		P	Inorganic Ion Transport and Metabolism
COG1284	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains		S	Function Unknown
COG1285	Magnesium uptake protein YhiD/SapB, involved in acid resistance		P	Inorganic Ion Transport and Metabolism
COG1286	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation		F	Nucleotide Transport and Metabolism
COG1286	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation		M	Cell Wall/Membrane/Envelope Biogenesis
COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3		O	Post-translational Modification, Protein Turnover, Chaperones
COG1288	Predicted membrane transporter YfcC, affects glyoxylate shunt		R	General Function Prediction Only
COG1289	Uncharacterized membrane protein YccC		S	Function Unknown
COG1290	Cytochrome b subunit of the bc complex		C	Energy Production and Conversion
COG1291	Flagellar motor component MotA		N	Cell Motility
COG1292	Choline-glycine betaine transporter		M	Cell Wall/Membrane/Envelope Biogenesis
COG1293	Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains		J	Translation, Ribosomal Structure and Biogenesis
COG1293	Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains		O	Post-translational Modification, Protein Turnover, Chaperones
COG1294	Cytochrome bd-type quinol oxidase, subunit 2		C	Energy Production and Conversion
COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)		S	Function Unknown
COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)		E	Amino Acid Transport and Metabolism
COG1297	Predicted oligopeptide transporter, OPT family		R	General Function Prediction Only
COG1298	Flagellar biosynthesis protein FlhA		N	Cell Motility
COG1299	Phosphotransferase system, fructose-specific IIC component		G	Carbohydrate Transport and Metabolism
COG1300	Stage II sporulation protein SpoIIM, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG1301	Na+/H+-dicarboxylate symporter		C	Energy Production and Conversion
COG1302	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family		S	Function Unknown
COG1303	tRNA C56-2-O'-methylase, SpoU family		J	Translation, Ribosomal Structure and Biogenesis
COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	Isoprenoid biosynthesis	C	Energy Production and Conversion
COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	Isoprenoid biosynthesis	I	Lipid Transport and Metabolism
COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	Isoprenoid biosynthesis	R	General Function Prediction Only
COG1305	Transglutaminase-like enzyme, putative cysteine protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG1306	Predicted glycosyl hydrolase, alpha amylase family		R	General Function Prediction Only
COG1307	Fatty acid-binding protein DegV (function unknown)		I	Lipid Transport and Metabolism
COG1308	Transcription factor homologous to NACalpha-BTF3		K	Transcription
COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA		K	Transcription
COG1310	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif		O	Post-translational Modification, Protein Turnover, Chaperones
COG1311	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B		L	Replication, Recombination and Repair
COG1312	D-mannonate dehydratase		G	Carbohydrate Transport and Metabolism
COG1313	Radical SAM superfamily enzyme PflX		R	General Function Prediction Only
COG1314	Protein translocase subunit SecG		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1315	Flagellar assembly protein FapA, interacts with EIIAGlc		N	Cell Motility
COG1316	Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)		M	Cell Wall/Membrane/Envelope Biogenesis
COG1317	Flagellar biosynthesis/type III secretory pathway protein FliH		N	Cell Motility
COG1317	Flagellar biosynthesis/type III secretory pathway protein FliH		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1318	Predicted transcriptional regulator		K	Transcription
COG1319	Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit	Non-phosphorylated Entner-Doudoroff pathway	C	Energy Production and Conversion
COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit		P	Inorganic Ion Transport and Metabolism
COG1321	Mn-dependent transcriptional regulator MntR, DtxR family		K	Transcription
COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC		L	Replication, Recombination and Repair
COG1323	tRNA-Met C34-N4-acetylcytidine synthase TmcAL	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1324	Divalent cation tolerance protein CutA		P	Inorganic Ion Transport and Metabolism
COG1325	Exosome subunit, RNA binding protein with dsRBD fold		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1326	Uncharacterized archaeal Zn-finger protein		R	General Function Prediction Only
COG1327	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains		K	Transcription
COG1328	Anaerobic ribonucleoside-triphosphate reductase	Thymidylate biosynthesis	F	Nucleotide Transport and Metabolism
COG1329	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family		K	Transcription
COG1330	Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)		L	Replication, Recombination and Repair
COG1331	Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains		R	General Function Prediction Only
COG1332	CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group	CRISPR-Cas system	V	Defense Mechanisms
COG1333	Cytochrome c biogenesis protein ResB		C	Energy Production and Conversion
COG1333	Cytochrome c biogenesis protein ResB		O	Post-translational Modification, Protein Turnover, Chaperones
COG1334	Uncharacterized conserved protein, FlaG/YvyC family		R	General Function Prediction Only
COG1335	Nicotinamidase-related amidase	Pyrimidine degradation	H	Coenzyme Transport and Metabolism
COG1335	Nicotinamidase-related amidase	Pyrimidine degradation	R	General Function Prediction Only
COG1336	CRISPR-Cas system type III CMR-effector complex subunit Cmr4, RAMP superfamily Cas7 group	CRISPR-Cas system	V	Defense Mechanisms
COG1337	CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group	CRISPR-Cas system	V	Defense Mechanisms
COG1338	Flagellar biosynthesis protein FliP		N	Cell Motility
COG1339	Archaeal CTP-dependent riboflavin kinase	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG1340	Uncharacterized coiled-coil protein, contains DUF342 domain		S	Function Unknown
